degree	word	coefficient
10	XXYXYXYXXY	-1/10080
10	XXYXYXYXYY	-1/10080
10	XXYXYXYYXY	-1/10080
10	XXYXYXYYYY	-1/20160
10	XXYXYYXXYY	1/20160
10	XXYXYYXYXY	-1/10080
10	XXYXYYYYXY	-1/20160
10	XXYXYYYYYY	-1/86400
10	XXYYXXXXXY	1/67200
10	XXYYXXXXYY	1/80640
10	XXYYXXXYYY	-1/60480
10	XXYYXXYXXY	1/20160
10	XXYYXXYXYY	1/20160
10	XXYYXXYYXY	1/20160
10	XXYYXXYYYY	1/80640
10	XXYYXYXXYY	1/20160
10	XXYYXYXYXY	-1/10080
10	XXYYXYYXXY	1/20160
10	XXYYXYYXYY	1/20160
10	XXYYXYYYYY	1/67200
10	XXYYYXXXXY	-1/120960
10	XXYYYXXXYY	-1/60480
10	XXYYYXXYYY	-1/60480
10	XXYYYXYYYY	-1/120960
10	XXYYYYXXXY	-1/120960
10	XXYYYYXXYY	1/80640
10	XXYYYYXYXY	-1/20160
10	XXYYYYXYYY	-1/120960
10	XXYYYYYXXY	1/67200
10	XXYYYYYXYY	1/67200
10	XXYYYYYYXY	-1/86400
10	XXYYYYYYYY	-1/2419200
10	XYXXXXXXXY	1/302400
10	XYXXXXXXYY	-1/86400
10	XYXXXXXYXY	1/25200
10	XYXXXXXYYY	1/43200
10	XYXXXXYXXY	-1/20160
10	XYXXXXYXYY	-1/20160
10	XYXXXXYYXY	-1/20160
10	XYXXXXYYYY	-1/34560
10	XYXXXYXXXY	1/15120
10	XYXXXYXYXY	1/5040
10	XYXXXYXYYY	1/15120
10	XYXXXYYYXY	1/15120
10	XYXXXYYYYY	1/43200
10	XYXXYXXXXY	-1/20160
10	XYXXYXXYXY	-1/10080
10	XYXXYXYXXY	-1/10080
10	XYXXYXYXYY	-1/10080
10	XYXXYXYYXY	-1/10080
10	XYXXYXYYYY	-1/20160
10	XYXXYYXXYY	1/20160
10	XYXXYYXYXY	-1/10080
10	XYXXYYYYXY	-1/20160
10	XYXXYYYYYY	-1/86400
